id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
04ffb8e50e9c75023875d273,Cannot display device SVG,Kan inte visa enhetens SVG,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,e941aa73f93a327adf97c994,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
060fe45a7e09dd37a7120ad3,Wheel Right,Mushjul höger,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,e5bcf817c71eb77070d0b579,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
08460bebf43c05e73027decb,Color,Färg,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,6aadc9e7a661365cec75f60d,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
0a70c69e15a68913fa4ddbf2,This LED is off,Den här lysdioden är av,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,578715c7a57d440531be9b31,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
0eafc58012a77a7b04ec72fa,Pick a Color for the LED,Välj en färg för lysdioden,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,2252c0f383d94dfb43eee3ee,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
1036065d9adf4aa06a6f2849,Doubleclick,Dubbelklick,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,1ba573dceddc477be7e1c967,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
11414a64ab5fc71b7ca95621,Left mouse button click,Vänster musklick,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,258a87caee7acf1fe55a848d,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
11e9ce85acc4fdddd1b934f4,Send keystroke,Skicka knapptryckning,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,31488438079437ba19cce071,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
12073745af96b6991fa1c2db,Effect duration,Effektfrekvens,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,d5f484830fd3d0992d546218,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
12dd0f3abd172aa912168432,Report rate,Poll frekvens,Piper,sv.po,,Bilingual translation changed in reviewed commit: Sync reviewed Piper Swedish PR,project-context,15591a950f6c5fc805564b7a,review-commit,https://github.com/yeager/translations/blob/8efe8976c0bc36a032c8e37f828ccba6450c3ea3/Piper/sv.po,8f076e4a76644a5d757cd42b31eabba2df15b8d03fb6fbe5f71fc12c4cfa2e1c,{}
