id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0007497d9e7fcaf98d97d61c,Find Gold,Hitta guld,Codeberg Weblate,verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,,Bilingual translation changed in reviewed commit: Add reviewed Swedish Lazarr infobooks translation,project-context,f3d51154e86656da5748f47c,review-commit,https://github.com/yeager/translations/blob/ce7b80cf66c037ca8dbff6dcd78a78d78d9eb27c/Codeberg Weblate/verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,b84aa8f846772f84ee36f1885b89e0d0d2138b8ca52d3d061c78072a78338aa4,{}
0014ea3673dd4dc1334f0a79,Invalid confirmation key.,Ogiltig bekräftelsenyckel.,Codeberg Weblate,verified-components/translations/sriracha/sriracha/sv.po,,Bilingual translation changed in reviewed commit: Add reviewed Swedish Sriracha translation,project-context,38a0e9ad788d50aecf3ed298,review-commit,https://github.com/yeager/translations/blob/0083fc6a07d0852cddba65e2013fe62eb7a8a8c3/Codeberg Weblate/verified-components/translations/sriracha/sriracha/sv.po,8275f2eb89a119f70b6debd5f53cd54a3666cca491538db02a9cd10f745c5b56,{}
0015768cff55e1aaa78e69b4,Enter Password:,Ange lösenord:,Codeberg Weblate,verified-components/translations/chipass/application/sv.ts,"DatabaseOpenWidget
",Bilingual translation changed in reviewed commit: Complete reviewed Swedish ChiPass translation,project-context,0bac79da22da5ee193a790b8,review-commit,https://github.com/yeager/translations/blob/39f838c0c531e239fc05fbaed8d519ee030bcd94/Codeberg Weblate/verified-components/translations/chipass/application/sv.ts,498bac1a798b397a31c03f0b937f92b849fe514f743f63f33a144636f93a1600,{}
00200309a13a3bd33a61f717,Invalid uuid value,Ogiltigt uuid-värde,Codeberg Weblate,verified-components/translations/chipass/application/sv.ts,"KdbxXmlReader
",Bilingual translation changed in reviewed commit: Complete reviewed Swedish ChiPass translation,project-context,7716f8e3b0591c7475030a7c,review-commit,https://github.com/yeager/translations/blob/39f838c0c531e239fc05fbaed8d519ee030bcd94/Codeberg Weblate/verified-components/translations/chipass/application/sv.ts,498bac1a798b397a31c03f0b937f92b849fe514f743f63f33a144636f93a1600,{}
002535bbd9e90c675cde290d,Melee attack from an unknown source,Närstridsattack från en okänd källa,Codeberg Weblate,verified-components/publish-results,,,project-context,161a8c244f8be9c336ea4fc8,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/publish-results/hades-death-messages.json,6f5e5ca6d78b9aa0a110eda6d5f2a5ab86729c78799c912b98d3a3cc066cd9f4,{}
002a5f42ca6bc9ca21665eda,Profile : Read Only,Profil: Skrivskyddad,Codeberg Weblate,verified-components/translations/readeck/application/sv.po,role,Bilingual translation changed in reviewed commit: Add reviewed Swedish Readeck translation,project-context,3051c67d79189b31ca474069,review-commit,https://github.com/yeager/translations/blob/9877c7442899663bc4c2b5cb7bb383f013b8af17/Codeberg Weblate/verified-components/translations/readeck/application/sv.po,b712f3934219a9cd963c1c2826b519fc559f8e0eec855be5b2c268ed90e41c6f,{}
003d9da932672688226d70a9,Confirm Reset,Bekräfta återställning,Codeberg Weblate,verified-components/translations/chipass/application/sv.ts,"ApplicationSettingsWidget
",Bilingual translation changed in reviewed commit: Complete reviewed Swedish ChiPass translation,project-context,2178c70e5825e4f88cfca2f1,review-commit,https://github.com/yeager/translations/blob/39f838c0c531e239fc05fbaed8d519ee030bcd94/Codeberg Weblate/verified-components/translations/chipass/application/sv.ts,498bac1a798b397a31c03f0b937f92b849fe514f743f63f33a144636f93a1600,{}
003eb74c0863782ac4b41dd5,Bronze Ladder,Bronsstege,Codeberg Weblate,verified-components/translations/hades-revisited/hades_core/hades_core.sv.po,,Bilingual translation changed in reviewed commit: Add reviewed Hades core Swedish translation,project-context,2f36924479d1cfda3ee55ba2,review-commit,https://github.com/yeager/translations/blob/43e529e1288f1f7fce30c740ac5cb78d4635d22f/Codeberg Weblate/verified-components/translations/hades-revisited/hades_core/hades_core.sv.po,0ffd935a0a9317d9cfa1f47d538e77490beabc04af9080bc55e882bb904ac552,{}
00558d3158a959975a477cbf,Create a new database,Skapa en ny databas,Codeberg Weblate,verified-components/translations/chipass/application/sv.ts,"MainWindow
",Bilingual translation changed in reviewed commit: Complete reviewed Swedish ChiPass translation,project-context,dc43da57092ef5c13599cebb,review-commit,https://github.com/yeager/translations/blob/39f838c0c531e239fc05fbaed8d519ee030bcd94/Codeberg Weblate/verified-components/translations/chipass/application/sv.ts,498bac1a798b397a31c03f0b937f92b849fe514f743f63f33a144636f93a1600,{}
0059219540516641dba3b2db,Type Sequence,Skrivsekvens,Codeberg Weblate,verified-components/translations/chipass/application/sv.ts,"AutoTypeSelectDialog
",Bilingual translation changed in reviewed commit: Complete reviewed Swedish ChiPass translation,project-context,a6e4d771c456bc99ee31c314,review-commit,https://github.com/yeager/translations/blob/39f838c0c531e239fc05fbaed8d519ee030bcd94/Codeberg Weblate/verified-components/translations/chipass/application/sv.ts,498bac1a798b397a31c03f0b937f92b849fe514f743f63f33a144636f93a1600,{}
