id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
011c1c19ae37e70703fc7311,Listen to music,Lyssna på musik,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,52221615388970566f2aaa0b,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
2c271bf83fb6b9235322e58a,Welcome to Linux Mint,Välkommen till Linux Mint,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,8c51d38990c3e3cbee91e397,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
2f79fbb2ee51994c73bafc54,Virtualbox,VirtualBox,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,c51db2ea9338dfef66d747af,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
444eeefc97ef5ec45205b103,Featured software,Utvalda program,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,3b017d7ba7f6735226a1110b,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
573670ae8586d82c3a9a3121,Find help,Hitta hjälp,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,ddac541677866454079b9ac6,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
5ea330b06c13e6c4dd9e3cdd,Stay connected,Håll kontakten,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,ce4751e817c517db65680769,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
639d5c35983a23834200052d,Customize your desktop,Anpassa ditt skrivbord,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,3e277ac98704a349816e6cfe,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
650f924bcfa5513c073b20da,Install software,Installera program,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,4949071983df5691210965df,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
7c6db22a13996d6d44e2e8be,Browse the web,Surfa på nätet,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,3ef6c2edb297a5df87fbd090,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
82c1fef8589092ba830984c6,Keep your system up to date,Håll ditt system uppdaterat,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,45ec6577d02ec70228c87811,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
8ad00036d0cbe5562f3a4cf0,Watch movies and videos,Se på film och video,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,b57149099ba767ff9cc3dadf,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
a69f1e038fa47d038e7a1124,Featured software and services,Utvalda program och tjänster,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,61d0101ed0e6a6fe8973ba82,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
c5dbe6dc682246a51ef4beba,Be productive,Var produktiv,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,6a50eb3c6ed8dd1a9ed97fe0,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
db1ce98d0f741639364689b6,Run Windows software,Kör Windows-program,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,300f887eb9460354fc56e18a,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
ed5202ef68864c93c1b91b40,Drawing,Teckning,Linux-Mint-Slideshow,slideshow-mint_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Linux Mint slideshow translation,project-context,cdb2502d0d720c73c669c0fa,review-commit,https://github.com/yeager/translations/blob/18c7a9a1af68d922350bd53ad2502de4c541053b/Linux-Mint-Slideshow/slideshow-mint_sv.po,2af19d958e36d65e839c3292a3266d328480d330119e8ac87ae0146dced4164d,{}
