id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00145c9d3d6444820b43ddcc,Found existing pre-restore snapshot,Hittade en befintlig avbild före återställning,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,c05e93187f67d06f9112d98f,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
00c0654d48447a3ba7f424dd,Restore completed,Återställning slutförd,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,02d5ec30e645ecd2a96b5312,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
0121a08feefab91935ba9b75,Creating pre-restore snapshot from system subvolumes...,Skapar en avbild före återställning från systemvolymer…,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,69e76792a8f8c65b56ed2088,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
027163e82b1a92a534ef5281,Include Only Hidden Files,Inkludera endast dolda filer,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,f606dfd4d8faac7213b178cf,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
02929bfd44a9500ad9fe95c9,Skip GRUB2 reinstall,Hoppa över ominstallation av GRUB2,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,b961d8aac08cbbf6d7547805,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
042e9e7ff54fc3ed8d2a64e4,Stop cron emails for scheduled tasks,Stoppa e-post från cron angående schemalagda åtgärder,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,9c22f255586984137ac8fe32,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
04b985173fd71d417eae0e1b,Cannot Delete Live Snapshot,Kan inte ta bort Live-avbild,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,841da8bc3d78aa015ba0a5a0,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
055956d5fb8f4d642ff56a21,Hide,Dölj,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,d092622aa158d2cb9deb34c1,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
05af6c77b7c4de7fd515c820,Include @home subvolume in backups,Ta med @home undervolym i säkerhetskopior,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,54f24dacf3f6d1e5914b043e,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
05e4e1509637e6ab64fb5ac8,Select the snapshots to be deleted,Välj avbilder för borttagning,Timeshift,timeshift_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Timeshift translation,project-context,00f2067a81e5dff545f85c07,review-commit,https://github.com/yeager/translations/blob/c015913c3390d5eac47ac14504c5cf7eafc7d63f/Timeshift/timeshift_sv.po,bb0a39ffea487fd9074626c733b56be8af52fba95bd1f50c2eb48391b7d4dc7a,{}
