id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
000209d75537f9d8ae931d04,Pizza,Pizzeria,Inkscape,inkscape-1.4-sv.po,Symbol,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,383c6db397f0700935c2f2fc,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0008706f9fea6723b185b584,Cannot go before first layer.,Kan inte gå före första lagret.,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,56611ebb5416bd09b39e2a92,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0011b3e22418eeb1c004c65f,Serial port:,Seriellport:,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,29555a84c3630577eccb9912,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
001f4f6a3753ca4562566b9c,Y-Function:,Y-funktion:,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,e1721939f615e2ea017c924d,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
001f72d53326d3b723fedc22,Update while moving knots (maybe slow),Uppdatera medan du flyttar knopar (kanske långsamt),Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,379798204ba7e50e71c6bafd,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
001ff0a222a753ddc27b730f,on blur,vid oskärpa,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,d34c89f0b2c14c5e4c9802e8,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
002034562dcfdaad9f164ca8,Inset/Outset Halo,Infälld/utfälld halo,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,bbf207723d56960978906928,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
003971f45db4c9b727a8ccbe,From color,Från färg,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,92fc065626fb9bf1dba57d3e,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
003a7a760a169781c19ff49a,Make Fill Opaque,Gör fyllningen ogenomskinlig,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,68f2d4587b07d00c3b78c62a,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
004eceb10c5f86737310c886,Toggle item visibility,Växla synlighet för objekt,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,93717428497a9bc270e9a035,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0053e237c5fd680d32cf6ec1,Clones,Kloner,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,70edbd8c931d6998d874be5b,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0059cc5fda7edb60006053b5,Remove Path Effect,Ta bort baneffekt,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,ad7a1da7c2af1f0a848e4069,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
005a60390dbb87ef30f570f7,Distribute text anchors vertically,Distribuera textankare vertikalt,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,a4f938ff9b567d72760a81e7,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
005ff9989484bc44a1369e91,Tile,Platta,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,d2b4d1c60f2f495c398f4046,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0067b82da4693a7455658661,Colored square,Färgad kvadrat,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,ac2c92cdea17430aed16144c,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
006e5c805823f5bf9235fc08,Wheelchair-accessible toilets,Handikappsanpassade toaletter,Inkscape,inkscape-1.4-sv.po,Symbol,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,5c800663873387086b2b71b3,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
00786ff22ca5e798424106bb,Green Channel,Grön kanal,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,e8df1aa214e374daf89df5a8,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
007874feb70762677a630a2a,No preview,Ingen förhandsvisning,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,5b31eeb903daf7e7edb45b2d,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
007b0e19963d2858a9552d8a,Computer,Datorer,Inkscape,inkscape-1.4-sv.po,Symbol,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,ca3aeeafe551c9b32b0da93c,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
0089deee4526aa88e6daf558,Layers and Objects...,Lager och objekt...,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,fb21c5a530ffb1697145674a,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
009a7b8ab45b55d30847ffbe,Closing path.,Stänger bana.,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,99ebc5e22a195edd7735a6c4,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
00a4ecb48935620f7721a735,Open file window,Öppna filfönstret,Inkscape,inkscape-1.4-sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Inkscape 1.4 Swedish catalog,project-context,638c1b6f72c18d0fe138115e,review-commit,https://github.com/yeager/translations/blob/28f276ff844b67262c73ea7d582b4540244a440e/Inkscape/inkscape-1.4-sv.po,f8208cde93a3edee33dd17d5e657d510239882bc3900660c7059efd8308c940f,{}
