id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
043f1c5b48e96e52a0df856f,Right ring finger,Höger ringfinger,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,2024b4ceaf0a81aa199dadf3,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
0ac48ad2839584249c9a2002,Right middle finger,Höger långfinger,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,0f7d9ed950352bf26c00246d,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
218bbbcb8bf531b86fe5dbc4,Fingerprints,Fingeravtryck,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,8ef2b1def0bb00e09c64a5a1,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
22ee3092793daf5cb75b11e0,Place your finger on the scanner...,Placera fingret på skannern …,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,383cebe34dd3bcc890639d51,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
2411975535a8e767803f14d2,Quit,Avsluta,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,e81994d995ad191e0aa1fa5e,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
273a3eeae2a7eafee73c9ed7,Right thumb,Höger tumme,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,7432c693113865247781718c,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
280a591cd787066c79b1b260,Fingerprint configuration tool,Konfigurationsverktyg för fingeravtryck,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,1f3b0f2d4f5311ace40091b6,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
2c18ca9b34f83bf9f2833206,Enable,Aktivera,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,b3374e9ab564b80ea10f1dd7,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
3061d42b7017834cfc7b5479,No fingerprint reader detected,Ingen fingeravtrycksläsare hittades,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,9de4936413afe14d86fcd998,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
43439475ca9ad4a731ea7f11,Fingerprint authentication disabled,Autentisering av fingeravtryck inaktiverad,Fingwit,fingwit_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Fingwit translation,project-context,d76b8de1448f696cb76887b2,review-commit,https://github.com/yeager/translations/blob/ef0647ba38bccb1a216f48e7c3874727cc00f741/Fingwit/fingwit_sv.po,2427bf3b2da94d04bfd7a64917fc6945cf6260d28230f90b4ca78f9dd8451851,{}
