id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00dbac10ec328b8bc0116b26,Downgrade,Nedgradera,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b67ee3fa97d632ebe6dd9f71,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
11d1c5fbb37e212c7e282cd3,The following packages will be removed:,Följande paket kommer att tas bort:,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,55ab65efc3b45fc7f9706ab5,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
1bbbf3c122a2b604d91e1df3,Flatpaks,Flatpak-paket,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,80641bed6d51c390d1e85642,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
1c60e69f560c7da6cb6506c2,Remove,Ta bort,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,c9bafb1e718d36a84d8aae7e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
27a543cc97ff5a9044df1553,Removing,Tar bort,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,e93595c1010c15d245c53c12,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
33529ec3a7827ffff76f6c8f,Additional changes are required,Ytterligare ändringar krävs,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,91d73ba3a6605accce79c453,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
3404c07024f7a3e5ee6dfe69,Packages to be removed,Paket som kommer att tas bort,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,21bb6d794dd8dff556fbb795,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
5b98552afc3f92393fdfd54f,Additional software will be upgraded,Ytterligare program kommer att uppgraderas,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,00dae2c13a5c6c6e9983db77,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
64f3fb4987c9aa1fe33a8020,Additional software will be re-installed,Ytterligare program kommer att installeras om,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,bd32c05db051e67037ec04be,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
85361ced20ecced5f9a010e9,Updates will be skipped,Uppdateringar kommer att hoppas över,Mint-Common,mint-common_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,cb3a1ef44220cba6d4a7da80,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Common/mint-common_sv.po,266c7cf646fc45cded07369d71795b8253fcb61e90c083b037ae81f69e64d7b1,{}
