id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00b3139699fead70446532a4,Some files not found,Några filer hittades inte,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,32f7b1fd49c27c47d1d44d69,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
00db93f3ca118534c9097b8a,About,Om,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,dbd3b6563afb0558a77669c2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
01b4f84fcc22da3a9635cf29,Decline,Neka,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,246dc3c4709b2a85222c35bf,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
02d61a54ba548a06f0c7c986,Waiting for two-way connection,Väntar på tvåvägskommunikation,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,3107acc030e623b3e0fb85ba,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
0312af26457702cc518d4863,Something went wrong,Något gick fel,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,15ca2e853f83e83ce5be1fcc,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
04ed2f0b40784b7535c319e9,"Alternatively, on the other device:",Alternativt på den andra enheten:,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,73947902011d45f8c1fbb198,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
0639fd4af21a465169d00330,Pause this operation,Pausa denna åtgärd,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,3dbe98d48f58cbb01b727484,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
0b2f25c8f41091475777c2eb,Set code,Ange kod,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7be8ffd564e396370100b5ae,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
0dadfa4454b848ef0ecc9c17,Unable to connect,Kunde inte ansluta,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4d1cc93213a4e5053d96b7c6,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
0e169eea9bb50062ea788a6c,Use compression when possible.,Använd komprimering när detta är möjligt.,Warpinator,warpinator_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,58f858659002fd78d346cf45,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Warpinator/warpinator_sv.po,0a0612bd654cff166356f542d8893c88e6de68f61ee91bbbdcf3ef258c6c4f2f,{}
