id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
01f7280d1d6fe00c0062074a,Reset Compiz settings,Återställ Compiz-inställningar,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,a26992952f91d45be42999bc,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
08c6264074e08bc1f7a5dc70,Small,Liten,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,7ed71b1811d4484563e0b366,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
0f875a265447bd53e2c52830,Let applications decide,Låt programmen välja,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,90546a8cb630076dad93cb95,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
1765ec9d59d030bffbb6456c,Auto,Automatisk,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,3eb7ee63332f8a719cd3c317,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
1d8388288218e9c9e5aa50e4,Fine-tune desktop settings,Finjustera skrivbordsinställningar,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,bdf7b64cd1c2acd1e5f0a047,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
24ef360d45735406599a464c,Home,Hem,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,de17e454a173a3ecf7cd797f,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
2bd32a176c25e897b4590be4,Window Manager,Fönsterhanterare,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,4293800ca5837d9b535ede2f,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
2ede82587d8fd21bf5503f78,Overview of some window managers,Översikt över några fönsterhanterare,Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,2bf9c0176e638e440eb7793f,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
300734d7817fca921e964d61,Traditional style (Right),Traditionell stil (höger),Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,965026ab32244638fbb1962b,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
3a862e148cfd10a9bc45c200,Double (HiDPI),Dubbel (HiDPI),Mint-Desktop,mintdesktop_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Mint Desktop translation,project-context,4b0ab89e80635c7e0b438efb,review-commit,https://github.com/yeager/translations/blob/9bd0b82a88a832e10415d54789727965339e2e32/Mint-Desktop/mintdesktop_sv.po,14ffa707b63a2c029bb9c62ab1539ccdb798a8f3046f7dc45486ae012d66b7fb,{}
