id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
010f7560e596393e83b790c7,Battery power,Batterinivå,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2ced2252e131b87e84918f2d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
0189873fa9aef43d357904ee,Optional pictures,Alternativa bilder,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7b083c1b91eb789693be5b01,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
028eeaa956270be7da23c045,Left,Vänster,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,0166d3bd2147f7a7fdc92210,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
04000dcb3a7b3e077080a982,Hide the user list,Dölj användarlistan,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,654c1a202b31ab5269c0e055,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
049efb8944a06bfe604c5b32,Clock format,Klockformat,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d5a9327562b99c58c9b35763,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
1b66fe4a58fac3066ff755cf,Alignment of the login box,Inloggningsrutans justering,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a594deecd345fe836ddbd4a3,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
1bef75e4ad9a66dd7ef1d264,Icon theme,Ikontema,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,28c7bbaf6b2fb902954a289c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
28021464a8767e339e9f4c31,Show accessibility options in the panel.,Visa tillgänglighetsalternativ i panelen.,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,15d5007e69524631c054bd9f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
2dbbb0fbd2079521571b6f5f,Keyboard layout,Tangentbordsupplägg,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,50b0b2b485f190ed24b439cf,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
319c2f775f2c26b70df1334e,Draw user backgrounds,Visa användarnas bakgrunder,LightDM-Settings,lightdm-settings_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,401c953fdafa6ca8e589d13b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/LightDM-Settings/lightdm-settings_sv.po,c7d81b0585bb245a47e4ab7e9243f511c92e830b6e93c94290b458ddc76a3055,{}
