id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
08ef77df9175cadd80610b2a,Low Disk Space,Lågt diskutrymme,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,1e9aee129add21ddf6df1da0,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
0a335a2976d6109ea225ec1e,Unavailable,Inte tillgänglig,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,c3ea0a598234a5f5dda211d0,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
0c02c689e6b27042a4e6e2da,UPS critically low,UPS-enhetens batterinivå är kritiskt låg,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,11c1a574a8855d221b1e3255,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
176c3e3bd8198b96cb31a865,Door open,Dörren är öppen,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,e479c3c39fdc21fddc27a742,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
17b8c8e9161d56134f5fe4e5,Please wait...,Vänta...,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,7aa6b2b9ae820613990f10e6,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
1d2abef12317a54dfec5c7b1,Disabled,Inaktiverad,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,e45d7ca8ff9bba4589e6c7fe,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
1eb7ba5e3d3488857585d175,Battery is low,Batterikapaciteten är låg,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,3cf1c9085f9b746eab9b45b5,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
2415fa0b1be225c37eaa88ae,Printing stopped,Utskriften stoppades,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,b5e99b29f37c34383031ac29,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
243e98497772140ca4520999,Lid has been opened,Locket har öppnats,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,73a1f24a6a33d190ddf596dc,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
25a38fdc80e40c1b2376a9b3,Screen reader not found.,Ingen skärmläsare hittades.,Cinnamon-Settings-Daemon,cinnamon-settings-daemon_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Cinnamon Settings Daemon translation,project-context,4899a67b2f6767478f605396,review-commit,https://github.com/yeager/translations/blob/4288d979427d692a0029e23887111deef73f573d/Cinnamon-Settings-Daemon/cinnamon-settings-daemon_sv.po,5873a9f27d30cf5e6cd1e1a18afee8e6d1e6fdeede2c3c8a24e7a112cbf25958,{}
