id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00088083242f27e214ace494,Please choose a folder,Var god välj en mapp,Monero-GUI,monero-core_sv.ts,"History
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,5952dfc60af2bf044f432226,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
00d4402b3587d8f51eb742ec,Switch to another public remote node,Byt till en annan offentlig fjärrnod,Monero-GUI,monero-core_sv.ts,"NetworkStatusItem
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,ab0301ada3361e44cb72b3ac,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
0131b9d854c768349a0f58be,This signature did not verify,Denna signatur kunde inte verifieras,Monero-GUI,monero-core_sv.ts,"Sign
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,5b910d66befc1fef459e46e7,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
019358c96ea9542d382a6ed9,Click to reveal,Klicka för att visa,Monero-GUI,monero-core_sv.ts,"History
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,d750b844989354fbbd3671b0,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
01c1b1c9ecd4ab1109002d7c,Set to use all threads,Ange för att använda alla trådar,Monero-GUI,monero-core_sv.ts,"Mining
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,7823671826e106cbdc146a42,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
01fc6c17cfdb232ea10fe777,minute(s),minut(er),Monero-GUI,monero-core_sv.ts,"SettingsLayout
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,805a6981d79a7f75b3949cae,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
026c9c214ff54ac118e993e8,Stagenet wallet,Stagenet-plånbok,Monero-GUI,monero-core_sv.ts,"WizardOpenWallet1
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,d8c7bb8b881f2e123d1f9464,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
028dd7eea20234a5e1ffa463,Error,Fel,Monero-GUI,monero-core_sv.ts,"SettingsWallet
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,6c618025043ef4bbe7d3c578,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
02fca4bdb0621d4993cc65fe,Give your wallet a password,Ge din plånbok ett lösenord,Monero-GUI,monero-core_sv.ts,"WizardAskPassword
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,8ab939f92c63a2d1f9bc88e7,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
03154d94ec82ada9b0190410,Mnemonic seed language,Språk för återställningsfrasen,Monero-GUI,monero-core_sv.ts,"WizardSummary
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,d1d4fb910a0a26c16e661127,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
034c216c9bc81c11127d99b5,Advanced mode,Avancerat läge,Monero-GUI,monero-core_sv.ts,"WizardModeSelection
",Bilingual translation changed in reviewed commit: l10n: archive reviewed Monero GUI Swedish,project-context,bf1f49b057b6d8d9ace1adf6,review-commit,https://github.com/yeager/translations/blob/0a0c6de639acf77ee44f814f5570402054b7424e/Monero-GUI/monero-core_sv.ts,8b885ba25a017c3c710f3ec4f089b8cb75b3e922819fcbbd1f0cb7cf5f3e4429,{}
