id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
05c6f00a766dd77c5ea3ddc5,Keyboard Shortcuts,Snabbkommandon,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,c558e449bf3cf327ea8b199b,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
0877f59f2da1f9ff6c2648f0,About,Om,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,832478ffde18c98e57e89960,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
0a5b43688192400f0e17484a,Web Apps,Webbappar,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,eb39eebfc4c99e50f11daa68,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
1563b900d8c87fe85c4cd7ac,Custom browser parameters,Anpassade webbläsarparametrar,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,798f97c56649b5e9dc7977f7,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
19026a61cab9027bfc073e73,Office,Kontor,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,776956d33c4deef4bf58591d,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
19fbdf71a4ee87ab404ede0d,Browser:,Webbläsare:,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,5b9d000f697e3d2d1c4afbe6,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
1c5491a45374b2c5d271af50,Private/Incognito Window:,Privat fönster/inkognitofönster:,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,5080edbd8f45913bb92d8edb,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
201db8ea1a6a0ec5540a4361,Add,Lägg till,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,3b45a261bcccc36b722afedb,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
2646611657cbe22603b03118,Category:,Kategori:,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,1acd8eb1c533f7677c2359eb,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
2fed5d16975317e22b02e563,Icon,Ikon,Web-App-Manager,webapp-manager_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Web App Manager translation,project-context,62d3001b87908cdda2d5cb52,review-commit,https://github.com/yeager/translations/blob/a57f09f1e8f393380417eaa68fdbd4d7606e3533/Web-App-Manager/webapp-manager_sv.po,0e65263a4a1c7bf710f8723a66b3067be5ed6c8e07bb7f3317fcc0ca17e0b7c0,{}
