id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
004170c01b6dd70618a8688d,Highlight,Markering,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,269386235950c03a348330e1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
015e27bdfeeb46abdd66124d,Left click to toggle notes,Vänsterklicka för att visa eller dölja anteckningar,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,eeeff9eee3ca313352c405f1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
0258ecc2283a261e6132667d,Normal Text,Normal text,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a56db7f830f0dc6727903db7,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
03012be171b37af1dd9d682b,Backups,Säkerhetskopior,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,605735aee532b9ab77e25652,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
040afca4d999f7809d3646af,Start automatically,Starta automatiskt,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a1f2fb113bdfb2962248e1bd,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
097e6bc088ab2af14b5167a5,Toggle Bullets,Växla punktlista,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,133efca5448d4bdd6296eb11,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
0d03d71397f9f071bff50977,Edit Title,Redigera titel,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6ffb5eca0c0c788468f807d2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
14369d6bca45ddb47b9bc703,Top Left,Överst till vänster,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b8fcfef41c65aa5078345d7b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
15d6efddecdb4f385f7b02f7,Large Text,Stor text,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,fe73e62d892e96181ec06e6d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
15f624ca16cfe5b2a2297e4f,Header,Rubrik,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,1a9ad4c4ed2b3a7889106a66,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
160e11265f8a0696f003be55,Automatic start,Automatisk start,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4d127f2cf38b6fafa11fcf66,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
16927105316e23b41dc245ff,New note,Ny anteckning,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,0ba684562a8aa446e31caa47,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
17a48474671abef9078700df,Clear,Rensa,Sticky,sticky_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a8e276be154faeace3e5d87f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Sticky/sticky_sv.po,f9794a8f59efc5f8b712b0d18f18c6c649f42d50f5a90472fc016ac194b4a688,{}
