id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
00da160338e7caef57023ea1,Comment,Kommentar,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,183b71cc2b90f1014b7f4f75,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
029d89a4e9e3d1590099510a,Embedded,Inbyggd,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,343b68051c037456bc7ad31d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0556097b06fe90c36a34753e,_Open Bookmark,_Öppna bokmärke,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,994e894bd0f23a00af84428a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
05dec1a92033e41977033378,Document contains no annotations,Dokumentet innehåller inga kommentarer,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,06903f9537e8b21f537a6ff4,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0603ae411e725405e6bc92a1,Cancel _print and Close,Avbryt _utskrift och stäng,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,afb77c1208de3a3492543c7b,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
07d0d64c61ce9b60b25feb0c,Unknown MIME Type,Okänd MIME-typ,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,052806d5abefe52cb6d3b207,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
085183920c6987911154d287,Show history buttons,Visa historie-knappar,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d261cdc1e15c5e5e341d1d3f,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
08c4d5cb497c3cc682d9ab74,_Original size,_Originalstorlek,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2a7e8989fd381c4aca0a89d2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0b089765ffbb1fca7983b8c0,DjVu document has incorrect format,DjVu-dokumentet har ett felaktigt format,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ef84dddd2892c697251e179a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0b9196586b5523548424f147,NUMBER,ANTAL,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a5a1fd23ec345fc67414a21a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0bb020e9750bc6417ac8e147,_Unlock Document,_Lås upp dokument,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4d348b7756251da714c09086,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0c7faeabf03e5bec638ef012,Enlarge the thumbnails,Förstora miniatyrbilderna,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f4be6fd88998705815b0ca8e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0d9abd337d7b2a0abb2383ab,Icon:,Ikon:,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,0c0ffa32213c185eb3c06262,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0df95b162c5109ffe08baf92,Annotations,Kommentarer,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8bb993eaaf97bc32c769bd51,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0ee1bf24ef6cf1fea8b06cec,Copy _Image,Kopiera _bild,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,021d65c2029b7b685e5abeb1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0f6342988cbfede9e1bdfc74,Next,Nästa,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5cc92f0cf03666f7a8884892,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
0fc9b99e7f55d1fdc0daa3c5,Specify file containing saved configuration,Ange fil som innehåller sparad konfiguration,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,df0917db8b5b74a76ff37278,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
103708e3ad0bda24965bd85d,Auto_scroll,Auto_rulla,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d399de4283a205ea295fb0b2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
109bbcd9c538f277930d01c3,_Go To,_Gå till,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6a58584c2d1bf83d6b9a0690,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
11f2a98731213ddb3e90d026,Scroll Down,Rulla ned,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a9aad4eac6be2e617b4ed868,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
11fef2b30632c6037605ebea,_Previous Page,_Föregående sida,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,c15d3a5afc43c0a2e8b902d4,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
146817dd73a068cbcd1895d5,New Paragraph,Nytt stycke,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,11b839bb56baf1bedb0c7a05,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
15481a0303cc77107f94846d,_Password:,_Lösenord:,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,36413bddae5d3804b2142fd6,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
15f9540abfe01b6d23a7d159,Color:,Färg:,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5a2cad023c38bc6f2939e5e6,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
16cb4daa0b3fe37b9a2dbadf,Text License,Textlicens,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,e756f6a3dbf12e40c0685a18,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
17c6e0a7884896f82fe00d8f,Right to Left,Höger till vänster,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,52195a12004fbfd57f4dbb1e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
194e24f06bf4a8cfda0145c1,Invalid document,Ogiltigt dokument,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,58982a6650d946ff4666fcd4,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
1b0604a4f6bddf16834e9ce5,_Last Page,_Sista sidan,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,da7161944fd0ab01c3500b13,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
1b41617f3796972933a2f4f8,Add highlight annotation,Lägg till en markerad kommentar,Xreader,xreader_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,22aaaf70b945753e7684dfdc,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Xreader/xreader_sv.po,555756d56172bf22f296e778a4968efd8eb7024f4f0cb2b2292debdac83a093e,{}
