id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
036485012bd408c84525fa2d,Stone Brick,Stentegel,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e8ddc32f53f8d3716513657d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
063943713d06a23b324b323e,These are the receivers:,De här är mottagarna:,Codeberg:lazarr,lzr_infobooks,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,783e4db4ed20f7b8975d99c7,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,b84aa8f846772f84ee36f1885b89e0d0d2138b8ca52d3d061c78072a78338aa4,{}
070a21567876229d19d9a85a,Barrier,Barriär,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2c34ea10e9853a9266dd8da0,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
0a5ea8ef4c01e2201029b4c8,Seabed,Havsbotten,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,6d28dd7d1094156e9404b520,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
0c6f7408c01e2f443369157e,Red + Blue → Magenta,Röd + blå → magenta,Codeberg:lazarr,lzr_infobooks,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,a5fb6751d64ee730e1c6f6b4,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,b84aa8f846772f84ee36f1885b89e0d0d2138b8ca52d3d061c78072a78338aa4,{}
0dde623fae9d081d543fa46f,Cave Stone,Grottsten,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,f6857579a26bd201511aa4b9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
0e4538fc6781f1bc2016bd36,Palm Wood Planks,Plankor i palmträ,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,716926d4bc17b7dd8418f731,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
0f9825e0b93133b68d6aa28e,Mossy Circular Stone,Mossig cirkulär sten,Codeberg:lazarr,lzr_core,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2ad2aa8df82413fe9b116e81,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_core/lzr_core.sv.po,7c7a965b9e71dd1bccf0560c8f719a9ddada516e9495fc3cf53042946c211aaa,{}
12a087b150c3970e9f56fee1,[Place]: Rotate the block clockwise.,[Place]: Rotera blocket medsols.,Codeberg:lazarr,lzr_infobooks,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,30dd19f7f7e9eca43c2f3f31,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,b84aa8f846772f84ee36f1885b89e0d0d2138b8ca52d3d061c78072a78338aa4,{}
134104e63d19c353bdc49906,Playing on touchscreen,Spela på pekskärm,Codeberg:lazarr,lzr_infobooks,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5dee74bcaa84f7f746084348,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Codeberg Weblate/verified-components/translations/lazarr/lzr_infobooks/lzr_infobooks.sv.po,b84aa8f846772f84ee36f1885b89e0d0d2138b8ca52d3d061c78072a78338aa4,{}
