id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
1086698169ff523013f758b6,Add to favorites,Lägg till i favoriter,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,b532cce919af30ff616f7b80,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
20d131f03fa97e0809957060,Open,Öppna,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,44db58447c99006c28e138b3,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
217e8ecbf1600dc24b4d1059,Recent and favorite documents,Senaste dokument och favoriter,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,2e0da2ca1dc89e4a46a1343d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
32d6f1d0e332f57113e8dac9,No documents found,Inga dokument hittades,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,fa677f62a6890d7697f3f1f4,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
58a4b88ffb77d8d0c6c37b4d,Quit,Avsluta,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,43c37fd0db707a344a2a3947,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
672374cd9b7e9385b240a88b,Library,Bibliotek,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8e71fcf8ad4ab3adf48164c0,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
a050a89e64dd4d7bd47850e6,Open containing folder,Öppna den innehållande mappen,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,ec2ccb5e911211cacddec7e6,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
a6378603d76f1ec40a4e9ff0,Move to trash,Flytta till papperskorgen,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,e8d1288b87909812ada96d6c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
c84d272ba16d7e64189d6dc4,About,Om programmet,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,5bd34a1c8e3e87e6eb7c5362,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
fdf0efbabb0acd5dcc37b744,Remove from favorites,Ta bort från favoriter,Thingy,thingy_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a574fb4a328d55f7a5662d27,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Thingy/thingy_sv.po,c956eedf741a75a0d011213e00eefd20a387a57118f49b3ef65103c5536f2b01,{}
