id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0006fe1a851e5112b0da0122,Encrypt my home folder,Kryptera min personliga mapp,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,a8b0206f5cb87f155ef0d44d,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
0086fed3a8622c0ee64ee615,Checking bootloader,Kontrollerar starthanteraren,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,07a4728f5836b97ffdf5eb0d,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
01288f83b9df3d4fc4394a3b,Computer's name: ,Datorns namn: ,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,b9dd63b6f62cde56b7273294,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
041e6a038bb5cefcc7bba60f,Yes,Ja,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,a98f9021b20ccd96071c63ee,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
081883ebfad4d259351bd1fb,Disk Encryption: ,Enhetskryptering: ,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,f036c76c53f67fccaef53aec,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
13d8c4a4143b33e3db195f4b,Removing live configuration (packages),Tar bort livekonfiguration (paket),Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,a666ba7fde67aa7807248436,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
1478ac2852eec7628079f378,Installing bootloader,Installerar starthanterare,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,7f32eb83fc85c8bc34499dce,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
14f6ec6e8929e3b02e70ab58,User settings,Användarinställningar,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,821222a182b917bd6e99c5d3,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
18c46b62e6c089074cbe101c,Configuring bootloader,Konfigurerar starthanteraren,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,9965b1e072dc4334213ea810,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
218cf2e8aafd8ed706c08e3e,Localizing packages,Landsanpassar paketen,Live-Installer,live-installer_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Live Installer translation,project-context,e778b6e981b2d6b60b40bd64,review-commit,https://github.com/yeager/translations/blob/fc07bb598e56e865d586f49e87750b80b75eb72b/Live-Installer/live-installer_sv.po,34471350d3320106810c2f89884db80268cc4d6ca9f1e75f33fe6d13307518a0,{}
