id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
008f197cbe0db893d613b138,Edit Material Render Settings,Redigera materialets renderingsinställningar,FreeCAD-Render,Render_sv-SE.ts,"Render_MaterialRenderSettings
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,bb9e34975e86fc7e879811d1,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
009d232cf40381e63c58a704,Open Render workbench settings,Öppna inställningarna för Render-arbetsbänken,FreeCAD-Render,Render_sv-SE.ts,"Render_Settings
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,d51058832927b9854f35d60f,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
044fdc249b24f68a371f95dd,Mapping,Mappning,FreeCAD-Render,Render_sv-SE.ts,"App::Property
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,0874396af5817da79b4e93dd,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
0650529468d526a2f1b571b7,Point Light,Punktljus,FreeCAD-Render,Render_sv-SE.ts,"Render_PointLight
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,2bc6724466f2ab04438a2e60,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
08b652cd62cf277fe5ee61c4,OspStudio executable path,Sökväg till körbar OspStudio-fil,FreeCAD-Render,Render_sv-SE.ts,"RenderSettings
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,34eaf89bff14c2ede8ab3780,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
097b21bf74627faf0bf03917,Choose material...,Välj material …,FreeCAD-Render,Render_sv-SE.ts,"RenderMaterial
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,99268cdc1ba7ae2515891a67,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
0b41cb9f904fb9fe6fe4e5d9,Advanced && Debug,Avancerat och felsökning,FreeCAD-Render,Render_sv-SE.ts,"RenderSettings
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,7c442f0d5dad4bed05fccc2f,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
0c53971066d67388817dd30e,Empty Selection,Tom markering,FreeCAD-Render,Render_sv-SE.ts,"Render
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,03e07d6486c56c416691f9c7,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
0c9e7a5d167a70d0a2d15b88,Apply a Material to selection,Tillämpa ett material på markeringen,FreeCAD-Render,Render_sv-SE.ts,"Render_MaterialApplier
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,db77e3efe76a3bcf3fd95854,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
0e91f7cf80a277f84ef0454c,Import a material from MaterialX file,Importera ett material från en MaterialX-fil,FreeCAD-Render,Render_sv-SE.ts,"MaterialMaterialXImportCommand
",Bilingual translation changed in reviewed commit: Sync reviewed FreeCAD Render Swedish PR,project-context,49c3a972ddc0f827ae023862,review-commit,https://github.com/yeager/translations/blob/d0f4b78ca94d091eb97817d54dcc7131b983a05c/FreeCAD-Render/Render_sv-SE.ts,a8548b3be70f280a5ed5636c3f95c20438a74da6f99938f6055790f8c91d544b,{}
