id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
02391bbf88df735a81f98c80,Prefer review from,Föredra recensioner från,Kodi,kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,#30007,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,70e24ca5f038afe8e5ada261,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,71ec94f8c940ac545608edfadb3f084a664cd895d6eb4f6dc5e9ff028acf1048,{}
12d4f3f193bfa56c2ac33ca0,Tubed Add-on,Tubed-tillägg,Kodi,kodi-add-ons-video-plugin-video-nasa-sv_se.po,#30208,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,975e78a8713d0a94cf0e07cc,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-video-plugin-video-nasa-sv_se.po,23120f17411116cc4c7ed06d0646920e2389be47f71c6cc44fe99ccfe3529eff,{}
1c98301a3fed44761a9ed977,Livestreams,Direktströmmar,Kodi,kodi-add-ons-video-plugin-video-nasa-sv_se.po,#30100,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,8ab79215bf6fa87f611c6446,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-video-plugin-video-nasa-sv_se.po,23120f17411116cc4c7ed06d0646920e2389be47f71c6cc44fe99ccfe3529eff,{}
1d5a55733cbef6b83ddfba57,Prefer moods from,Föredra stämning från,Kodi,kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,#30004,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,e03ea757a6596f3816b4a471,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,71ec94f8c940ac545608edfadb3f084a664cd895d6eb4f6dc5e9ff028acf1048,{}
1e79cf9a5e176b9a04a85194,Prefer biography from,Föredra biografi från,Kodi,kodi-add-ons-information-providers-metadata-generic-artists-sv_se.po,#30002,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,1429416ef589407fe6b00c66,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-information-providers-metadata-generic-artists-sv_se.po,56e6c39d6d254f6ee9c1f607c7ad72a5efc296acb1f4abb2e33a5ad26346abba,{}
2035eaa76eb9e994a18ae348,Playback,Uppspelning,Kodi,kodi-add-ons-video-plugin-video-nasa-sv_se.po,#30204,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,be39aef2c821b0b7976a2a1c,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-video-plugin-video-nasa-sv_se.po,23120f17411116cc4c7ed06d0646920e2389be47f71c6cc44fe99ccfe3529eff,{}
224d1304bd22d4867c6e79cb,Prefer themes from,Föredra teman från,Kodi,kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,#30005,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,8a8bfe56e1b5953b57c1c482,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,71ec94f8c940ac545608edfadb3f084a664cd895d6eb4f6dc5e9ff028acf1048,{}
23d424d6d55d44bf80f399f3,Videos,Videor,Kodi,kodi-add-ons-video-plugin-video-nasa-sv_se.po,#30101,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,64c30713b7401fd25f9945c1,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-video-plugin-video-nasa-sv_se.po,23120f17411116cc4c7ed06d0646920e2389be47f71c6cc44fe99ccfe3529eff,{}
28fd8607df582ca2a9366426,Page,Sida,Kodi,kodi-add-ons-video-plugin-video-nasa-sv_se.po,#30001,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,c7549fe4714ff83633e2bf7b,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-video-plugin-video-nasa-sv_se.po,23120f17411116cc4c7ed06d0646920e2389be47f71c6cc44fe99ccfe3529eff,{}
2dec4e4645111e8ed56b5818,Preferred language for album review,Föredraget språk för albumrecension,Kodi,kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,#30001,Bilingual translation changed in reviewed commit: Review Swedish Kodi metadata and NASA add-on,project-context,aa817f0f75bbe7508a8b2849,review-commit,https://github.com/yeager/translations/blob/0e41b9747c4cbd265d02c306c6022760332d5a64/Kodi/kodi-add-ons-information-providers-metadata-generic-albums-sv_se.po,71ec94f8c940ac545608edfadb3f084a664cd895d6eb4f6dc5e9ff028acf1048,{}
