id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
002c0169c97fc283308f5f8d,Use Diagonal Scale Correction,Använd korrigering av diagonal skalning,PCSX2,crowdin-current-ui-batch9-20260920,"Pad
../../pcsx2/SIO/Pad/PadDualshock2.cpp:71",,project-context,f74817e08d1db3532cab28be,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/PCSX2/crowdin-current-ui-batch9-20260920.json,134204bdde884be3c2722090609773e05cd73b495e902e6f39659aa156be0139,"{""artifact"":""https://crowdin.com/project/pcsx2"",""sha256"":""7ce55acc5b091da6a99cef81015ec1d7a74d17db078b2c5eb4a0448d526f2b96""}"
008201e62ef3b62bc6b6373d,System Fonts,Systemteckensnitt,PCSX2,Crowdin UI,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1c4d9a56cd5c4fe8d559ba1e,reviewed-file-delivery,https://crowdin.com/project/pcsx2,c5f591f1edc9553e40265bc0be0fe67c8e4252c052a1cf8ecfb524489a5aff60,{}
0096f7ea2b51f23d5fa5328e,Add Separator,Lägg till avgränsare,PCSX2,crowdin-current-ui-batch9-20260920,"ToolbarCustomizationDialog
../ToolbarCustomizationDialog.ui:162",Publiceringsförsöket nekades enligt det äldre kvittot; texten är ett lokalt granskningsförslag.,project-context,7f8d954d4f47c460635d5486,reviewed-local,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/PCSX2/crowdin-current-ui-batch9-20260920.json,134204bdde884be3c2722090609773e05cd73b495e902e6f39659aa156be0139,"{""artifact"":""https://crowdin.com/project/pcsx2"",""sha256"":""325738ee7dc7a72f9f7a7fad47c8db01075b7d8913705a1fb265ad7966db1555""}"
00b1a31fdc567f2f426cdc7c,None,Ingen,PCSX2,crowdin-current-ui-batch64-20260920,"BreakpointDialog
../Debugger/Breakpoints/BreakpointDialog.ui:394",Publiceringsförsöket nekades enligt det äldre kvittot; texten är ett lokalt granskningsförslag.,project-context,aaa6307f2d8af15aaa4d98d2,reviewed-local,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/PCSX2/crowdin-current-ui-batch64-20260920.json,3eb6750c0d4249b01cf40b2787e9f2e9792529adfb274d1a979de2495c7acabc,"{""artifact"":""https://crowdin.com/project/pcsx2"",""sha256"":""cdfbefe9e9f50df31109e3490f0a36ee60ff4d7eca90879af68a1d8c4809c8c5""}"
00ba120acd02b5240abb89a6,Save Draw Range Start,Start för sparat ritintervall,PCSX2,Crowdin UI,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3d10dc979818fd04436b607c,reviewed-file-delivery,https://crowdin.com/project/pcsx2,c5f591f1edc9553e40265bc0be0fe67c8e4252c052a1cf8ecfb524489a5aff60,{}
00e0e521cd8cb0916939dab8,Show GPU Debug Info,Visa felsökningsinformation för GPU,PCSX2,Crowdin UI,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,9e5a79fe1ecf4a5e59a8b645,reviewed-file-delivery,https://crowdin.com/project/pcsx2,c5f591f1edc9553e40265bc0be0fe67c8e4252c052a1cf8ecfb524489a5aff60,{}
0150839fb61e75b4b8e2d626,Account,Konto,PCSX2,crowdin-current-ui-batch54-20260920,"SetupWizardDialog
../SetupWizardDialog.ui:819",Publiceringsförsöket nekades enligt det äldre kvittot; texten är ett lokalt granskningsförslag.,project-context,5f3d528e5cab687edfb039a2,reviewed-local,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/PCSX2/crowdin-current-ui-batch54-20260920.json,1ea914cd857e948af6e29d5981765e20bf4f3f3bfcd3d14fdfab548fae14eacc,"{""artifact"":""https://crowdin.com/project/pcsx2"",""sha256"":""9aae34dbb7ddd718652e5726785d65e35fe4d76514fb4a087cad74aec27120d5""}"
015a8dd29796bc4a80436d03,Unlock Notification Duration,Varaktighet för upplåsningsnotis,PCSX2,Crowdin UI,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,28e653aa3823c82aa051399a,reviewed-file-delivery,https://crowdin.com/project/pcsx2,c5f591f1edc9553e40265bc0be0fe67c8e4252c052a1cf8ecfb524489a5aff60,{}
0161bcab35dc1a5c7d26ccd7,Disable Vertex Shader Expand,Inaktivera utökning av vertexshader,PCSX2,crowdin-current-ui-batch23-20260920,"GraphicsAdvancedSettingsTab
../Settings/GraphicsAdvancedSettingsTab.ui:325",,project-context,b38da68d7896e7f12d3704be,reviewed-receipt,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/PCSX2/crowdin-current-ui-batch23-20260920.json,94825b8000dc084475f7ee18208d828359829f994a9e4d0dfc9ec3c3d325f60e,"{""artifact"":""https://crowdin.com/project/pcsx2"",""sha256"":""62c8cbf5586b907cd94875ed2d61fe766dfbf8c0f8e5afc190b1cf0d2e9a372e""}"
01c73f8dda4d61bd0f279a31,Day of the month (1-31).,Månadens dag (1–31).,PCSX2,Crowdin UI,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,3fec3adbcfdf62307802a468,reviewed-file-delivery,https://crowdin.com/project/pcsx2,c5f591f1edc9553e40265bc0be0fe67c8e4252c052a1cf8ecfb524489a5aff60,{}
