id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0062ff0c4ffc0060ff173de6,System snapshots,Systemavbilder,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a7fd5f85b78f4fd27b6d6ab5,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
020918e47ff401c3b2ab3d10,Installed Version,Installerad version,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,45e3396165bda71fc9d6ec28,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
0431c40e965829d34f82940c,Kept packages,Behållna paket,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,37a0c167fa33335c82eb1d7c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
04504c789c50d102af56aa6e,Archive,Arkiv,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,971809a0f3fc2dc442be49da,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
06e02420f91433567aa7b695,Looking for foreign packages...,Söker efter främmande paket…,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,fb22722650a5d5ff3588563d,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
0aae4c38d2bebc58e9d01e30,Session inhibition,Sessionshämning,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,1a84072b00f99fc5db084799,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
1a3fc668b27d101d6b0b72b9,Requirements,Krav,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,33ed6fbe361f7850b7776dc2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
237b25eff3abb9b3e72391ae,Held packages,Återhållna paket,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6c09ec8a1e5461d7c70212e6,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
25110c3278edbf253d054500,Checking the power source...,Kontrollerar strömkällan…,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7bd5d6918dacb8a1ec222575,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
260ac53edd5da854fab03efb,The following problems were found:,Följande problem hittades:,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6b6951f2a9067d09862afc21,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
2d5626a3a6f01c9775e03366,Orphan packages,Föräldralösa paket,Mint-Upgrade,mintupgrade_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f6d98837d3bb6c3764325453,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Upgrade/mintupgrade_sv.po,940b5c2ba6ab860a33668eea51fa0e190843437da56ca1992a7c0ea3d108e0aa,{}
