id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0434e8dff84ea34a6731fe9f,surround sound,surroundljud,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,76c0c05151dc9375acf132eb,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
04c76d35ecb9bc34d150ce7a,List of MPV options,Lista över MPV-alternativ,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,cfacdbb34de4470ab00dd7d5,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
06db0aa23acd3750ce297d91,Create a new channel,Skapa en ny kanal,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,459836eb8d3e806ff26320ee,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
08b6d03a7305efcddbac050c,Keyboard Shortcuts,Snabbkommandon,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,a329d5fbdbe9d155e2b912fc,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
131023c215165832b3bf4b42,New Channel,Ny kanal,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,be8355b485909d5ee6d38b38,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
136cae2cce19cbeb75e4f18f,Movies,Filmer,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,ebe3ac4535135353be133347,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
1b0b6ec676cf5e28300da68a,User Agent,Användaragent,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,a04d6c34081383bf33cd730c,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
1c05b6aecbaa0859e9bb15b2,M3U URL,M3U-URL,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,568c2cceada5dd3dd79350d4,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
2b83d03e069733e06ca3ad6c,Add a new provider...,Lägg till ny leverantör...,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,4b50f2de49592ca21938b79f,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
2c4bc63fe0fd392fe622542c,Preferences,Inställningar,Hypnotix,hypnotix_sv.po,,Bilingual translation changed in reviewed commit: Archive reviewed Swedish Hypnotix translation,project-context,4af376bb26adcdc4f3507857,review-commit,https://github.com/yeager/translations/blob/04bc3d8c663385b4ae2498dc013352ebceac6599/Hypnotix/hypnotix_sv.po,31110a6e5d3eb88fa8793cfbd644c1c87d91788381c1192df39239d3d63f9815,{}
