id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0f0ce79c53e491dfa0055994,Enable debugging code,Aktivera felsökningskod,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,9f1355bfc7ad8140646ede97,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
0f236cd892f6f9b21b66a2bd, - the Cinnamon session manager, – Cinnamons sessionshanterare,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d6f4a0ad64cfe52c1ee61670,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
1097eb47a0c48b046796d29d,Override standard autostart directories,Åsidosätt standardkataloger för automatisk start,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,0a39b1f03e3bb070b4b6c877,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
12792cfeebebfce8b9f3da04,_Restart,Starta _om,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,3a197ea32444cd05efffd516,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
16b5fb5d59fc015e7caebb40,Ignoring any existing inhibitors. Implies --no-prompt,Ignorerar alla befintliga hinder. Medför --no-prompt,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,9882177a0055c939c084ebea,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
1fcdf69c0d565454a2a00287,_Ignore and continue,_Ignorera och fortsätt,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,f2608dc3288c70acb0767abf,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
3886d262121c89be9340709a,Do not load user-specified applications,Läs inte in användarspecifika program,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,aed8685729db5a6514e8723e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
4aa6d400320eb093178827f3,Log out,Logga ut,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a7cc13a40775bb01cea874e5,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
645b68b6bc4fe7995e879593,Remembered Application,Sparat program,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,42620dfded37df3c15e48ba0,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
65da0290c9aa32d50a626355,Don't prompt for user confirmation,Fråga inte efter användarbekräftelse,Cinnamon-Session,cinnamon-session_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,4c04be0227bda7f60f2647ea,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Cinnamon-Session/cinnamon-session_sv.po,b0f72defbe679583fa7bb832a72249b9de4cc196adee0ccee20e6ce40b3b0168,{}
